Binding affinity to human recombinant gamma-aminobutyric-acid (GABA) A receptor alpha-2-beta-3-gamma-2
C1=CC=C2C(=C1)C3=C4C(=NC=C3N2)C5=C(N4)C=C(C=C5)Cl,0.51
C1=CC=C2C(=C1)C3=C4C(=NC=C3N2)C5=C(N4)C=C(C=C5)F,0.52
CCCOC1=CC2=C(C=C1)N(C3=CN=C(C(=C23)COC)C(=O)OCC)C,0.37
CCCOC1=CC2=C(C=C1)NC3=CN=C(C(=C23)COC)N,0.41
CCCOC1=CC2=C(C=C1)NC3=CN=C(C(=C23)COC)OCCC,0.38
CCCCCCCCOC1=CC2=C(C=C1)NC3=CN=C(C(=C23)CC)C(=O)OCC,0.21
CCC1=C2C3=CC(=C(C=C3NC2=CN=C1C(=O)OCC)OC)OC,0.44
CCOC(=O)C1=C2C3CCN3C(=O)C4=C(N2C=N1)C=CC(=C4)C#C,0.45
CC(C)C1=NOC(=N1)C2=C3C4CCN4C(=O)C5=C(N3C=N2)C=CC(=C5)C#C,0.36
CCOC(=O)C1=C2C3CCN3C(=O)C4=C(N2C=N1)C=CC(=C4)Br,0.47
CCOC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC(=C4)C#C,0.4
CC1=NOC(=N1)C2=C3C4CCN4C(=O)C5=C(N3C=N2)C=CC(=C5)C#C,0.4
CCOC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC(=C4)C#C,0.35
CCOC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC(=C4)Br,0.43
CC(C)C1=NOC(=N1)C2=C3C4CCCN4C(=O)C5=C(N3C=N2)C=CC(=C5)C#C,0.34
CCC1=NOC(=N1)C2=C3C4CCCN4C(=O)C5=C(N3C=N2)C=CC(=C5)C#C,0.37
CC1=NOC(=N1)C2=C3C4CCCN4C(=O)C5=C(N3C=N2)C=CC(=C5)C#C,0.38
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)C=C)C,0.47
CCC1=NOC(=N1)C2=C3C4CCN4C(=O)C5=C(N3C=N2)C=CC(=C5)C#C,0.36
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)C#N)C,0.44
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)Br)C,0.47
COC1=CC2=C(C=C1)C3=NC=C4C(=C3N2)C5=CC=CC=C5N4,0.49
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CS3,0.57
CN1C(=O)CN=C(C2=C1C=CC(=C2)F)C3=CC=CS3,0.48
C1C(=O)NC2=C(C=C(C=C2)F)C(=N1)C3=CC=CS3,0.49
C1=CC2=C(C=C1[N+](=O)[O-])C3=CC(=NC=C3N2)[N+](=O)[O-],0.51
CCCOC1=CC2=C(C=C1)NC3=CN=C(C(=C23)COC)C(=O)NN,0.36
CCC1=C2C3=C(C=CC(=C3)OC)NC2=CN=C1C(=O)OCC,0.53
COC(=O)C1=NC=C2C(=C1)C3=C(N2)C=CC(=C3)NCC4=CC5=CC=CC=C5C=C4,0.31
COC(=O)C1=NC=C2C(=C1)C3=C(N2)C=CC(=C3)NC4CCCCC4,0.44
COCC1=C2C3=C(C=CC(=C3)OCC4=CC=CC=C4)NC2=CN=C1SC#N,0.36
C1=CC=C2C(=C1)C3=C4C(=NC=C3N2)C5=C(N4)N=CC=C5,0.54
CN1C(=O)CN=C(C2=C1C=CC(=C2)Br)C3=CC=CC=C3,0.55
C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=C3[N+](=O)[O-],0.47
CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C4=C(N2C=N1)C=CC=C4Br,0.48
CCC1=C2C3=C(C=CC(=C3)OCC4=CC5=CC=CC=C5C=C4)NC2=CN=C1C(=O)OCC,0.28
C1=CC=C2C(=C1)C3=C4C(=NC=C3N2)C5=C(N4)C=NC=C5,0.52
C1=CC2=C(C=C1SC#N)C3=CC(=NC=C3N2)SC#N,0.46
CN1C(=O)CN=C(C2=C1C=CC(=C2)C#C)C3=CC=CC=C3,0.48
C1=CC=C2C(=C1)C3=C4C(=NC=C3N2)N5C=CC=CC5=N4,0.45
C1=CC=C2C(=C1)C3=C4C(=NC=C3N2)C5=C(N4)C=CC=N5,0.47
CC(C)OC(=O)C1=NC=C2C(=C1COC)C3=C(N2)C=CC(=C3)OCC4=CC=CC=C4,0.36
CC(C)COC1=NC=C2C(=C1)C3=CC=CC=C3N2,0.52
CCOC(=O)C1=NC=C2C(=C1COC)C3=C(N2)C=CC(=C3)OCC4=CC=CC=C4,0.39
