epoch	lr	loss	val_loss
1	0.001	17.893517894129598	7.939675300352035
2	0.001	7.149901790003622	7.162285604784565
3	0.001	6.510530887111541	7.1647789401392785
4	0.001	6.451838601020075	7.0963235516701975
5	0.001	6.420614919354839	6.942143778647146
6	0.001	6.2158168669669855	6.8122383702185845
7	0.001	6.172188912668536	6.94352142272457
8	0.001	6.150864570371566	6.888806835297616
9	0.001	6.012886877982847	6.841025044841151
10	0.001	6.072728157043457	6.955381501105524
11	0.0005	6.011993008275186	6.893302871334937
