O=c1n([se]c2ccccc12)-c1ccccc1	 900.853186
O=P(Nc1nccs1)(c1nc2ccccc2s1)c1ccccc1	 3099.321232
CCOC(=O)Cc1csc(n1)-n1sc2ccccc2c1=O	 36626.77937
OC(=O)CCCCC1CCSS1	 200.810233
CCCCCCCCCCCNC(=O)c1ccoc1C	 6410.037695
[O-][N+](=O)c1c[c-](C[NH+]=Nc2nccs2)ccc1=O	 2692.769804
O=C(Cn1sc2ccccc2c1=O)NC12CC3CC(CC(C3)C1)C2	 10659.60677
COc1cc(C=C(C#N)c2nc3CCCCc3s2)ccc1O	 4531.782536
O=c1n(sc2ccccc12)-c1ccccc1	 6801.964494
CC(CC\C=C(\C)C(O)=O)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3	 5811.588449
Cc1ccccc1-n1sc2cc(F)ccc2c1=O	 4572.513179
COC(=O)c1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)cc1	 3326.09844
COc1ccc(cc1)C(=O)Nc1cc(Cl)ccc1C(O)=O	 15750.85768
Cc1ccc(CNC(=O)CCS(=O)(=O)c2ccc(Br)cc2)cc1	 3266.209472
O=c1n(sc2ccccc12)-c1ccccc1	 2390
COc1ccc(cc1)C(=O)Nc1cc(Cl)ccc1C(O)=O	 9608.5
Fc1ccc2c(c1)sn(CC(=O)Nc1ccccc1)c2=O	 4340
Fc1ccc2sn(-c3ccccc3)c(=O)c2c1	 1030
Clc1ccccc1-n1sc2ccccc2c1=O	 1970
Clc1ccc(cc1)-n1c(=O)c2ccccc2s1=O	 25000
Fc1cccc(c1)-n1sc2ccccc2c1=O	 1820
Fc1cccc(c1)-n1c(=O)c2ccccc2s1=O	 25000
Fc1ccccc1-n1sc2ccccc2c1=O	 2260
Clc1cccc(c1)-n1sc2ccccc2c1=O	 1901
Cn1sc2ccccc2c1=O	 25000
Clc1ccc(cc1)-n1sc2ccccc2c1=O	 1100
O=c1n(oc2ccccc12)-c1ccccc1	 25000
Fc1ccc2c(c1)sn(-c1ccccc1)c2=O	 2310
O=c1s[nH]c2ccccc12	 25000
Cn1sc(=O)c2ccccc12	 25000
Fc1ccc2c(c1)sn(Cc1ccccc1)c2=O	 25000
Cc1ccc(c(C)c1)-n1sc2cc(F)ccc2c1=O	 4770
COc1ccccc1-n1sc2ccccc2c1=O	 7900
COc1cccc(c1)-n1sc2ccccc2c1=O	 2520
Cc1ccccc1-n1sc2cc(F)ccc2c1=O	 4800
COc1ccc(cc1)-n1sc2ccccc2c1=O	 5350
[O-][N+](=O)c1ccc2sn(-c3ccccc3)c(=O)c2c1	 25000
Cc1ccccc1N1Cc2ccccc2C1=O	 25000
Fc1ccc(S)c(c1)C(=O)Nc1ccccc1	 25000
Fc1ccc2sn(-c3ccccc3Cl)c(=O)c2c1	 2330
COc1ccc(NC(=O)c2ccccc2SCc2ccccc2)cc1	 25000
Clc1ccc(c(Cl)c1)-n1sc2ccccc2c1=O	 5030
O=c1n(sc2ncccc12)-c1ccccc1	 2270
CC(=O)Nc1ccc2sn(-c3ccccc3)c(=O)c2c1	 6310
FC(F)(F)c1ccc2sn(-c3ccccc3)c(=O)c2c1	 25000
O=C(Cn1sc2ccccc2c1=O)Nc1ccccc1	 6690
Fc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1	 6230
COc1ccc2sn(-c3ccccc3)c(=O)c2c1	 3220
CN(C)S(=O)(=O)c1cccc(c1)-n1sc2ccccc2c1=O	 7630
[O-][N+](=O)c1ccc2c(c1)sn(-c1ccccc1)c2=O	 11620
Brc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1	 25000
Ic1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1	 14780
O=c1n(sc2cc(ccc12)C#N)-c1ccccc1	 6660
CC(=O)Nc1ccc2c(c1)sn(-c1ccccc1)c2=O	 3920
Cc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1	 5180
COc1cccc(NC(=O)Cn2sc3ccccc3c2=O)c1	 5030
FC(F)(F)c1cccc(NC(=O)Cn2sc3ccccc3c2=O)c1	 25000
Ic1cccc(NC(=O)Cn2sc3ccccc3c2=O)c1	 25000
Clc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1	 12870
O=c1n(sc2ccc(cc12)C#N)-c1ccccc1	 2970
Cn1n(-c2ccccc2)c(=O)c2ccccc12	 25000
Fc1cc2sn(-c3ccccc3)c(=O)c2cc1F	 2234
O=c1ccsn1-c1ccccc1	 13513.66667
COc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1	 5628.666667
O=C(Cn1sc2ccccc2c1=O)Nc1ccc(cc1)C#N	 6967.666667
Cc1ccccc1NC(=O)Cn1sc2ccccc2c1=O	 8523.333333
O=C(Cn1sc2ccccc2c1=O)NCc1ccccc1	 5720.333333
CCOC(=O)Cn1sc2ccccc2c1=O	 12529
